id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
827329727943902674,Cozy room - center of Madrid,29446134,Vittoria,Chamberí,Rios Rosas,40.44129,-3.69919,Private room,56.0,1,17,2025-02-16,0.71,1,333,6,
39937428,V3 - Apartamento con 2 Habitaciones,232520062,Alexander,Chamberí,Arapiles,40.43078,-3.71028,Entire home/apt,81.0,90,55,2023-06-03,0.87,37,294,0,
1224774875337889569,Apartamento nuevo en complejo privado 2,523452243,Abel,Ciudad Lineal,Pueblo Nuevo,40.4326994,-3.6455281,Entire home/apt,71.0,2,26,2025-03-02,4.62,7,89,26,
1217517221133202553,Exclusivo Apartamento en Goya,554702849,Miguel,Salamanca,Goya,40.42465,-3.67558,Entire home/apt,250.0,6,9,2025-02-10,1.34,4,84,9,
15353038,Acogedor apartamento en pleno centro de Madrid,70165534,Francois,Centro,Sol,40.41584,-3.70467,Entire home/apt,99.0,1,362,2025-02-10,3.55,1,205,59,vt-4520
816494099498335017,Cómoda Habitación Individual Madrid,464905761,Leidy,Hortaleza,Canillas,40.46423,-3.63458,Private room,,2,3,2023-06-10,0.12,2,0,0,
851266310209548293,Nuevo bien comunicado 1 dormitorio,236573839,Fernando María,Tetuán,Valdeacederas,40.46439435123566,-3.702786642029228,Entire home/apt,73.0,2,40,2025-02-24,1.69,9,159,24,VT-10678910
14579567,Lighting Loft in Madrid (La Latina),16666103,Sergio,Centro,Embajadores,40.41236,-3.70549,Entire home/apt,105.0,3,336,2025-01-05,3.24,7,53,27,
50024743,Pleno centro  de Madrid malasaña,403471967,Jorge,Centro,Universidad,40.42675,-3.70342,Private room,34.0,1,38,2023-10-22,0.85,1,34,0,
1285721345482374386,Las Letras Cervantes  1,142578,Daniel,Centro,Cortes,40.41352498970955,-3.695625487881725,Private room,31.0,3,8,2025-02-14,2.11,24,2,8,
943498203248608964,Habitación privada con balcón a 1 min Gran Vía,1891477,Diogo,Centro,Palacio,40.42270862371719,-3.7098333644114767,Private room,50.0,2,37,2025-02-18,2.0,3,9,36,
1238391782675065298,Ama Madrid Santa Ana,489450541,José Antonio,Centro,Cortes,40.4152641,-3.701525499999999,Entire home/apt,80.0,3,12,2025-03-03,2.47,3,9,12,
37799117,"At Home in Madrid IX, Trendy Chueca, Prado,GranVia",31509536,Gorete,Centro,Justicia,40.42386,-3.70005,Entire home/apt,183.0,2,183,2025-02-23,2.77,10,2,41,VT-4921
1211705665747524884,Apartamento de 1 habitación en el Malasaña + cool.,9255894,,Centro,Universidad,40.4251393,-3.7056848,Entire home/apt,107.0,4,12,2025-03-02,2.05,1,98,12,
18837432,Madrid by the river 4,10569937,Ele,Arganzuela,Acacias,40.4009,-3.71129,Private room,,3,0,,,7,0,0,
15923933,Close to the center、Atocha Station,26961007,津津,Retiro,Pacífico,40.4049,-3.67856,Private room,,10,6,2017-02-06,0.06,1,0,0,
48413555,Tranquilo y Cómodo apartamento 2min.metro Legazpi,24999099,Bielka,Arganzuela,Delicias,40.392754,-3.694537,Entire home/apt,55.0,10,56,2024-10-29,1.25,6,37,11,VT
54015435,Apartamento recientemente renovado. Aire frío,14032635,Carlos,Puente de Vallecas,San Diego,40.39188,-3.66956,Entire home/apt,89.0,20,7,2024-10-26,0.19,8,363,1,
590998928272591139,Piso cool Madrid centro,295439689,Elsy,Centro,Universidad,40.42852,-3.70372,Private room,,1,0,,,1,0,0,
1243583767660292736,apartamento en barrio Salamanca,599649774,Luis,Salamanca,Recoletos,40.42513279394685,-3.686162787976754,Entire home/apt,150.0,29,0,,,2,362,0,
876550784952730490,Flat with a patio - Sol at 20 min,10069344,Michel,Centro,Embajadores,40.40626121357229,-3.708688494014032,Entire home/apt,90.0,3,72,2024-12-30,3.29,3,260,35,
789042306505926697,Double central room. Matadero.,33764591,Julia,Arganzuela,Chopera,40.3957,-3.69701,Private room,66.0,2,28,2024-10-09,1.05,4,0,10,
936633601639422130,Bright studio and very well connected in Bernabéu,133056146,Iván,Tetuán,Cuatro Caminos,40.4554702,-3.6962144,Entire home/apt,77.0,1,26,2025-01-16,1.32,85,347,10,
931990358212204747,Habitación privada casa familiar,6290324,Alba,Usera,Almendrales,40.38457,-3.69527,Private room,48.0,2,28,2025-01-19,1.55,1,36,15,
1304412034748458292,Tiny Private Room Near Retiro Park For 2,660097310,Braulio Adrian,Retiro,Ibiza,40.4164859,-3.6744852,Private room,46.0,2,1,2025-02-16,1.0,11,174,1,
1295562842258392188,Goya X,438136382,Home Club,Salamanca,Goya,40.42342917503407,-3.6698934566809327,Entire home/apt,211.0,1,0,,,334,195,0,
836819064999680359,Apartamento en Puerta del Angel,264795318,Rafa,Latina,Puerta del Angel,40.41362286743859,-3.730867335779327,Private room,43.0,1,12,2025-03-02,0.71,1,86,5,
1126712062304100364,Cute penthouse with lots of light,36503894,Marta Y Enrique,Centro,Embajadores,40.41088,-3.70262,Entire home/apt,89.0,1,34,2025-03-05,3.17,48,326,34,
1155608945641906221,"Loft Embajadores, 2rooms-2bathrooms",4063691,Pedro,Centro,Embajadores,40.40704320072889,-3.705946360790256,Entire home/apt,196.0,2,14,2024-12-25,1.47,2,64,14,VT-14221
1195872040872139212,Habitacion Doble Estandar,583866073,Manuel,Centro,Justicia,40.41962483278755,-3.699105670339611,Private room,134.0,1,4,2024-10-27,0.65,5,271,4,
20221372,Increíble Habitación en el Corazón de Madrid,98683967,Mauricio,Arganzuela,Imperial,40.40561,-3.71308,Private room,,1,38,2018-12-23,0.41,1,0,0,
913633995912835477,Piso en la zona de Trafalgar,518713670,Bemadrid,Chamberí,Trafalgar,40.43577358006107,-3.70120336854925,Entire home/apt,89.0,30,0,,,245,339,0,
933196613913722794,M024 - Apartment in Cabeza,471977881,Rodrigo,Centro,Embajadores,40.41281,-3.70186,Entire home/apt,84.0,30,0,,,120,364,0,
41583947,Habitacion privada Barrio Salamanca,157012361,Carlos,Salamanca,Goya,40.42827,-3.67919,Private room,135.0,2,46,2024-11-08,1.01,1,364,13,
